name,currency,capital,languages,latitude,longitude,area,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population,region_Americas,region_Asia,region_Europe,region_Oceania
Guinea,Guinean franc,Conakry,French,0.490566037735849,0.3284951707639298,0.014378964167515445,Western Africa,"['CIV', 'GNB', 'LBR', 'MLI', 'SEN', 'SLE']",0.0007881300757290204,0.5768321513002365,0.1730541955090326,0.0623964660408614,0.1540785498489426,0.37244897959183676,0.14868372265480162,0.6647058823529411,0.00990795193045257,False,False,False,False
Brunei,Brunei dollar,Bandar Seri Begawan,Malay,0.4292452830188679,0.7736299311231323,0.0003370510652991782,South-Eastern Asia,['MYS'],0.000445464825412055,0.5768321513002365,0.0928583488097248,0.046935394809497516,0.1389728096676737,0.4770408163265306,0.0,0.7535771065182829,0.0002983039290888946,False,True,False,False
Madagascar,Malagasy ariary,Antananarivo,French,0.1981132075471698,0.5320193526502777,0.03433329867206601,Eastern Africa,"['CHN', 'IND']",0.0005139978754754481,0.5768321513002365,0.2026000337666723,0.09497515184980673,0.08761329305135951,0.3520408163265306,0.13533555802743788,0.4292527821939586,0.022671098610755988,False,False,False,False
Azerbaijan,Azerbaijani manat,Baku,Azerbaijani,0.7688679245283019,0.533804652491386,0.005064730644867227,Western Asia,"['ARM', 'GEO', 'IRN', 'RUS', 'TUR']",0.0024671898022821507,0.5768321513002365,0.11818335303055884,0.07785753727222529,0.15709969788519637,0.4387755102040816,0.06896551724137931,0.6009538950715421,0.007201909145146169,False,True,False,False
Palestine,Egyptian pound,Ramallah,Arabic,0.6877358490566037,0.48988627640012145,0.0003636619913671372,Western Asia,"['ISR', 'EGY', 'JOR']",0.0004111983003803585,0.5768321513002365,0.08863751477291913,0.3779679734953065,0.8610271903323263,0.461734693877551,0.10530218761586949,0.1653418124006359,0.003956078297678912,False,True,False,False
Central African Republic,Central African CFA franc,Bangui,French,0.45283018867924524,0.4391837609126453,0.03643544486033117,Middle Africa,"['CMR', 'TCD', 'COD', 'COG', 'SSD', 'SDN']",3.4266525031696545e-05,0.5768321513002365,0.07597501266250212,0.07288790723357261,0.18731117824773413,0.3239795918367347,0.21653689284390065,0.3736089030206677,0.0037572090116196485,False,False,False,False
Bahrain,Bahraini dinar,Manama,Arabic,0.6320754716981132,0.5446949815221467,4.462330631061829e-05,Western Asia,"['CHN', 'IND']",0.0015762601514580409,0.3813238770685579,0.08863751477291913,0.04803975704030922,0.18731117824773413,0.30612244897959184,0.4883203559510567,0.5850556438791732,0.0011008835478280635,False,True,False,False
Austria,Euro,Vienna,German,0.8333333333018867,0.4118091633370825,0.004905123574011271,Central Europe,"['CZE', 'DEU', 'HUN', 'ITA', 'LIE', 'SVK', 'SVN', 'CHE']",0.017818593016482198,0.5626477541371159,0.036299172716528785,0.07012700165654334,0.19939577039274922,0.32908163265306123,0.29477196885428253,0.5389507154213036,0.006505866643938748,False,False,True,False
France,Euro,Paris,French,0.820754716981132,0.37134236695052936,0.032266068358224084,Western Europe,"['AND', 'BEL', 'DEU', 'ITA', 'LUX', 'MCO', 'ESP', 'CHE']",0.10828221910016106,0.5673758865248227,0.036299172716528785,0.05577029265599116,0.22356495468277945,0.30102040816326536,0.41045606229143494,0.5071542130365659,0.04858092559447712,False,False,True,False
El Salvador,United States dollar,San Salvador,Spanish,0.5172955974528302,0.04671534586613818,0.0012304763545610267,Central America,"['GTM', 'HND']",0.0011307953260459858,0.5465721040189125,0.09083234847205808,0.049475427940364435,0.1540785498489426,0.3647959183673469,0.2181312569521691,0.4721780604133545,0.004453251512827069,True,False,False,False
